,coefs,pval
159,Mode10_Main effect e2/4,0.008
160,Mode11_Main effect e2/4,0.016
161,Mode12_Main effect e2/4,0.02
162,Mode13_Main effect e2/4,0.014
163,Mode14_Main effect e2/4,0.016
164,Mode15_Main effect e2/4,0.011
165,Mode16_Main effect e2/4,0.013
166,Mode17_Main effect e2/4,0.015
167,Mode18_Main effect e2/4,0.014
168,Mode19_Main effect e2/4,0.014
169,Mode20_Main effect e2/4,0.016
170,Mode21_Main effect e2/4,0.019
171,Mode22_Main effect e2/4,0.011
172,Mode23_Main effect e2/4,0.019
173,Mode24_Main effect e2/4,0.009
174,Mode25_Main effect e2/4,0.015
175,Mode26_Main effect e2/4,0.008
176,Mode27_Main effect e2/4,0.016
177,Mode28_Main effect e2/4,0.019
178,Mode29_Main effect e2/4,0.013
179,Mode30_Main effect e2/4,0.01
180,Mode31_Main effect e2/4,0.008
181,Mode32_Main effect e2/4,0.02
182,Mode33_Main effect e2/4,0.002
183,Mode34_Main effect e2/4,0.009
184,Mode35_Main effect e2/4,0.005
185,Mode36_Main effect e2/4,0.008
186,Mode37_Main effect e2/4,0.01
187,Mode38_Main effect e2/4,0.007
188,Mode39_Main effect e2/4,0.011
189,Mode40_Main effect e2/4,0.013
190,Mode41_Main effect e2/4,0.011
191,Mode42_Main effect e2/4,0.004
192,Mode43_Main effect e2/4,0.011
193,Mode44_Main effect e2/4,0.01
194,Mode45_Main effect e2/4,0.008
195,Mode46_Main effect e2/4,0.006
196,Mode47_Main effect e2/4,0.009
197,Mode48_Main effect e2/4,0.008
198,Mode49_Main effect e2/4,0.007
199,Mode50_Main effect e2/4,0.009
200,Mode1_Main effect e3/4,0.002
201,Mode2_Main effect e3/4,0.002
202,Mode3_Main effect e3/4,0.002
203,Mode4_Main effect e3/4,0.001
204,Mode5_Main effect e3/4,0.001
205,Mode6_Main effect e3/4,0.001
206,Mode7_Main effect e3/4,0.002
207,Mode8_Main effect e3/4,0.003
208,Mode9_Main effect e3/4,0.002
209,Mode10_Main effect e3/4,0.001
210,Mode11_Main effect e3/4,0.001
211,Mode12_Main effect e3/4,0.002
212,Mode13_Main effect e3/4,0.001
213,Mode14_Main effect e3/4,0.001
214,Mode15_Main effect e3/4,0.002
215,Mode16_Main effect e3/4,0.002
216,Mode17_Main effect e3/4,0.003
217,Mode18_Main effect e3/4,0.002
218,Mode19_Main effect e3/4,0.002
219,Mode20_Main effect e3/4,0.001
220,Mode21_Main effect e3/4,0.0
221,Mode22_Main effect e3/4,0.002
222,Mode23_Main effect e3/4,0.001
223,Mode24_Main effect e3/4,0.001
224,Mode25_Main effect e3/4,0.002
225,Mode26_Main effect e3/4,0.001
226,Mode27_Main effect e3/4,0.002
227,Mode28_Main effect e3/4,0.001
228,Mode29_Main effect e3/4,0.001
229,Mode30_Main effect e3/4,0.001
230,Mode31_Main effect e3/4,0.001
231,Mode32_Main effect e3/4,0.0
232,Mode33_Main effect e3/4,0.001
233,Mode34_Main effect e3/4,0.001
234,Mode35_Main effect e3/4,0.0
235,Mode36_Main effect e3/4,0.001
236,Mode37_Main effect e3/4,0.001
237,Mode38_Main effect e3/4,0.002
238,Mode39_Main effect e3/4,0.001
239,Mode40_Main effect e3/4,0.0
240,Mode41_Main effect e3/4,0.0
241,Mode42_Main effect e3/4,0.002
242,Mode43_Main effect e3/4,0.002
243,Mode44_Main effect e3/4,0.0
244,Mode45_Main effect e3/4,0.001
245,Mode46_Main effect e3/4,0.0
246,Mode47_Main effect e3/4,0.002
247,Mode48_Main effect e3/4,0.002
248,Mode49_Main effect e3/4,0.001
249,Mode50_Main effect e3/4,0.002
250,Mode1_Main effect e4/4,0.0
251,Mode2_Main effect e4/4,0.0
252,Mode3_Main effect e4/4,0.0
253,Mode4_Main effect e4/4,0.0
254,Mode5_Main effect e4/4,0.0
255,Mode6_Main effect e4/4,0.0
256,Mode7_Main effect e4/4,0.0
257,Mode8_Main effect e4/4,0.0
258,Mode9_Main effect e4/4,0.0
259,Mode10_Main effect e4/4,0.0
260,Mode11_Main effect e4/4,0.0
261,Mode12_Main effect e4/4,0.0
262,Mode13_Main effect e4/4,0.0
263,Mode14_Main effect e4/4,0.0
264,Mode15_Main effect e4/4,0.0
265,Mode16_Main effect e4/4,0.0
266,Mode17_Main effect e4/4,0.0
267,Mode18_Main effect e4/4,0.0
268,Mode19_Main effect e4/4,0.0
269,Mode20_Main effect e4/4,0.0
270,Mode21_Main effect e4/4,0.0
271,Mode22_Main effect e4/4,0.0
272,Mode23_Main effect e4/4,0.0
273,Mode24_Main effect e4/4,0.0
274,Mode25_Main effect e4/4,0.0
275,Mode26_Main effect e4/4,0.0
276,Mode27_Main effect e4/4,0.0
277,Mode28_Main effect e4/4,0.0
278,Mode29_Main effect e4/4,0.0
279,Mode30_Main effect e4/4,0.0
280,Mode31_Main effect e4/4,0.0
281,Mode32_Main effect e4/4,0.0
282,Mode33_Main effect e4/4,0.0
283,Mode34_Main effect e4/4,0.0
284,Mode35_Main effect e4/4,0.0
285,Mode36_Main effect e4/4,0.0
286,Mode37_Main effect e4/4,0.0
287,Mode38_Main effect e4/4,0.0
288,Mode39_Main effect e4/4,0.0
289,Mode40_Main effect e4/4,0.0
290,Mode41_Main effect e4/4,0.0
291,Mode42_Main effect e4/4,0.0
292,Mode43_Main effect e4/4,0.0
293,Mode44_Main effect e4/4,0.0
294,Mode45_Main effect e4/4,0.0
295,Mode46_Main effect e4/4,0.0
296,Mode47_Main effect e4/4,0.0
297,Mode48_Main effect e4/4,0.0
298,Mode49_Main effect e4/4,0.0
299,Mode50_Main effect e4/4,0.0
300,Mode1_Main effect canonical variate,0.311
301,Mode2_Main effect canonical variate,0.11
302,Mode3_Main effect canonical variate,0.4
303,Mode4_Main effect canonical variate,0.192
304,Mode5_Main effect canonical variate,0.264
305,Mode6_Main effect canonical variate,0.465
306,Mode7_Main effect canonical variate,0.086
307,Mode8_Main effect canonical variate,0.197
308,Mode9_Main effect canonical variate,0.212
309,Mode10_Main effect canonical variate,0.36
310,Mode11_Main effect canonical variate,0.106
311,Mode12_Main effect canonical variate,0.219
312,Mode13_Main effect canonical variate,0.347
313,Mode14_Main effect canonical variate,0.182
314,Mode15_Main effect canonical variate,0.128
315,Mode16_Main effect canonical variate,0.227
316,Mode17_Main effect canonical variate,0.288
317,Mode18_Main effect canonical variate,0.285
318,Mode19_Main effect canonical variate,0.118
319,Mode20_Main effect canonical variate,0.289
320,Mode21_Main effect canonical variate,0.191
321,Mode22_Main effect canonical variate,0.214
322,Mode23_Main effect canonical variate,0.149
323,Mode24_Main effect canonical variate,0.094
324,Mode25_Main effect canonical variate,0.305
325,Mode26_Main effect canonical variate,0.267
326,Mode27_Main effect canonical variate,0.144
327,Mode28_Main effect canonical variate,0.116
328,Mode29_Main effect canonical variate,0.172
329,Mode30_Main effect canonical variate,0.212
330,Mode31_Main effect canonical variate,0.306
331,Mode32_Main effect canonical variate,0.018
332,Mode33_Main effect canonical variate,0.298
333,Mode34_Main effect canonical variate,0.17
334,Mode35_Main effect canonical variate,0.043
335,Mode36_Main effect canonical variate,0.036
336,Mode37_Main effect canonical variate,0.197
337,Mode38_Main effect canonical variate,0.274
338,Mode39_Main effect canonical variate,0.156
339,Mode40_Main effect canonical variate,0.091
340,Mode41_Main effect canonical variate,0.117
341,Mode42_Main effect canonical variate,0.065
342,Mode43_Main effect canonical variate,0.178
343,Mode44_Main effect canonical variate,0.119
344,Mode45_Main effect canonical variate,0.203
345,Mode46_Main effect canonical variate,0.038
346,Mode47_Main effect canonical variate,0.139
347,Mode48_Main effect canonical variate,0.086
348,Mode49_Main effect canonical variate,0.037
349,Mode50_Main effect canonical variate,0.151
350,Mode1_Canonical variate x e2/2,0.34
351,Mode2_Canonical variate x e2/2,0.42
352,Mode3_Canonical variate x e2/2,0.238
353,Mode4_Canonical variate x e2/2,0.117
354,Mode5_Canonical variate x e2/2,0.246
355,Mode6_Canonical variate x e2/2,0.255
356,Mode7_Canonical variate x e2/2,0.092
357,Mode8_Canonical variate x e2/2,0.015
358,Mode9_Canonical variate x e2/2,0.199
359,Mode10_Canonical variate x e2/2,0.008
360,Mode11_Canonical variate x e2/2,0.353
361,Mode12_Canonical variate x e2/2,0.09
362,Mode13_Canonical variate x e2/2,0.222
363,Mode14_Canonical variate x e2/2,0.203
364,Mode15_Canonical variate x e2/2,0.265
365,Mode16_Canonical variate x e2/2,0.195
366,Mode17_Canonical variate x e2/2,0.122
367,Mode18_Canonical variate x e2/2,0.282
368,Mode19_Canonical variate x e2/2,0.168
369,Mode20_Canonical variate x e2/2,0.161
370,Mode21_Canonical variate x e2/2,0.309
371,Mode22_Canonical variate x e2/2,0.304
372,Mode23_Canonical variate x e2/2,0.209
373,Mode24_Canonical variate x e2/2,0.157
374,Mode25_Canonical variate x e2/2,0.308
375,Mode26_Canonical variate x e2/2,0.279
376,Mode27_Canonical variate x e2/2,0.321
377,Mode28_Canonical variate x e2/2,0.039
378,Mode29_Canonical variate x e2/2,0.155
379,Mode30_Canonical variate x e2/2,0.289
380,Mode31_Canonical variate x e2/2,0.267
381,Mode32_Canonical variate x e2/2,0.025
382,Mode33_Canonical variate x e2/2,0.045
383,Mode34_Canonical variate x e2/2,0.135
384,Mode35_Canonical variate x e2/2,0.009
385,Mode36_Canonical variate x e2/2,0.014
386,Mode37_Canonical variate x e2/2,0.192
387,Mode38_Canonical variate x e2/2,0.247
388,Mode39_Canonical variate x e2/2,0.15
389,Mode40_Canonical variate x e2/2,0.243
390,Mode41_Canonical variate x e2/2,0.104
391,Mode42_Canonical variate x e2/2,0.135
392,Mode43_Canonical variate x e2/2,0.265
393,Mode44_Canonical variate x e2/2,0.106
394,Mode45_Canonical variate x e2/2,0.223
395,Mode46_Canonical variate x e2/2,0.033
396,Mode47_Canonical variate x e2/2,0.152
397,Mode48_Canonical variate x e2/2,0.212
398,Mode49_Canonical variate x e2/2,0.133
399,Mode50_Canonical variate x e2/2,0.213
400,Mode1_Canonical variate x e2/3,0.377
401,Mode2_Canonical variate x e2/3,0.239
402,Mode3_Canonical variate x e2/3,0.452
403,Mode4_Canonical variate x e2/3,0.087
404,Mode5_Canonical variate x e2/3,0.273
405,Mode6_Canonical variate x e2/3,0.351
406,Mode7_Canonical variate x e2/3,0.451
407,Mode8_Canonical variate x e2/3,0.01
408,Mode9_Canonical variate x e2/3,0.003
409,Mode10_Canonical variate x e2/3,0.07
410,Mode11_Canonical variate x e2/3,0.411
411,Mode12_Canonical variate x e2/3,0.334
412,Mode13_Canonical variate x e2/3,0.219
413,Mode14_Canonical variate x e2/3,0.352
414,Mode15_Canonical variate x e2/3,0.26
415,Mode16_Canonical variate x e2/3,0.139
416,Mode17_Canonical variate x e2/3,0.326
417,Mode18_Canonical variate x e2/3,0.251
418,Mode19_Canonical variate x e2/3,0.139
419,Mode20_Canonical variate x e2/3,0.259
420,Mode21_Canonical variate x e2/3,0.293
421,Mode22_Canonical variate x e2/3,0.277
422,Mode23_Canonical variate x e2/3,0.16
423,Mode24_Canonical variate x e2/3,0.073
424,Mode25_Canonical variate x e2/3,0.161
425,Mode26_Canonical variate x e2/3,0.083
426,Mode27_Canonical variate x e2/3,0.115
427,Mode28_Canonical variate x e2/3,0.017
428,Mode29_Canonical variate x e2/3,0.306
429,Mode30_Canonical variate x e2/3,0.167
430,Mode31_Canonical variate x e2/3,0.214
431,Mode32_Canonical variate x e2/3,0.257
432,Mode33_Canonical variate x e2/3,0.308
433,Mode34_Canonical variate x e2/3,0.023
434,Mode35_Canonical variate x e2/3,0.265
435,Mode36_Canonical variate x e2/3,0.152
436,Mode37_Canonical variate x e2/3,0.213
437,Mode38_Canonical variate x e2/3,0.033
438,Mode39_Canonical variate x e2/3,0.093
439,Mode40_Canonical variate x e2/3,0.103
440,Mode41_Canonical variate x e2/3,0.154
441,Mode42_Canonical variate x e2/3,0.121
442,Mode43_Canonical variate x e2/3,0.153
443,Mode44_Canonical variate x e2/3,0.199
444,Mode45_Canonical variate x e2/3,0.037
445,Mode46_Canonical variate x e2/3,0.222
446,Mode47_Canonical variate x e2/3,0.164
447,Mode48_Canonical variate x e2/3,0.04
448,Mode49_Canonical variate x e2/3,0.157
449,Mode50_Canonical variate x e2/3,0.244
450,Mode1_Canonical variate x e3/3,0.17
451,Mode2_Canonical variate x e3/3,0.039
452,Mode3_Canonical variate x e3/3,0.204
453,Mode4_Canonical variate x e3/3,0.339
454,Mode5_Canonical variate x e3/3,0.207
455,Mode6_Canonical variate x e3/3,0.297
456,Mode7_Canonical variate x e3/3,0.272
457,Mode8_Canonical variate x e3/3,0.153
458,Mode9_Canonical variate x e3/3,0.045
459,Mode10_Canonical variate x e3/3,0.212
460,Mode11_Canonical variate x e3/3,0.262
461,Mode12_Canonical variate x e3/3,0.207
462,Mode13_Canonical variate x e3/3,0.333
463,Mode14_Canonical variate x e3/3,0.032
464,Mode15_Canonical variate x e3/3,0.167
465,Mode16_Canonical variate x e3/3,0.281
466,Mode17_Canonical variate x e3/3,0.243
467,Mode18_Canonical variate x e3/3,0.318
468,Mode19_Canonical variate x e3/3,0.193
469,Mode20_Canonical variate x e3/3,0.275
470,Mode21_Canonical variate x e3/3,0.302
471,Mode22_Canonical variate x e3/3,0.256
472,Mode23_Canonical variate x e3/3,0.214
473,Mode24_Canonical variate x e3/3,0.024
474,Mode25_Canonical variate x e3/3,0.154
475,Mode26_Canonical variate x e3/3,0.212
476,Mode27_Canonical variate x e3/3,0.108
477,Mode28_Canonical variate x e3/3,0.102
478,Mode29_Canonical variate x e3/3,0.021
479,Mode30_Canonical variate x e3/3,0.071
480,Mode31_Canonical variate x e3/3,0.182
481,Mode32_Canonical variate x e3/3,0.072
482,Mode33_Canonical variate x e3/3,0.259
483,Mode34_Canonical variate x e3/3,0.142
484,Mode35_Canonical variate x e3/3,0.101
485,Mode36_Canonical variate x e3/3,0.076
486,Mode37_Canonical variate x e3/3,0.197
487,Mode38_Canonical variate x e3/3,0.091
488,Mode39_Canonical variate x e3/3,0.119
489,Mode40_Canonical variate x e3/3,0.188
490,Mode41_Canonical variate x e3/3,0.053
491,Mode42_Canonical variate x e3/3,0.141
492,Mode43_Canonical variate x e3/3,0.208
493,Mode44_Canonical variate x e3/3,0.084
494,Mode45_Canonical variate x e3/3,0.065
495,Mode46_Canonical variate x e3/3,0.059
496,Mode47_Canonical variate x e3/3,0.061
