,Main effect e2/2,Main effect e2/3,Main effect e3/3,Main effect e2/4,Main effect e3/4,Main effect e4/4,Main effect canonical variate,Canonical variate x e2/2,Canonical variate x e2/3,Canonical variate x e3/3,Canonical variate x e2/4,Canonical variate x e3/4,Canonical variate x e4/4,Age
0,,,,,,,,,,,,,,0.13580972111140685
1,,,,,,,,,,,,,,0.13619232211882323
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,0.13506239130555697
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,0.13604262193629327
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,0.13592390468227322
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,0.13600602278516902
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,0.1357406055777049
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,-0.09321601818696013,,,,,0.13608737629893347
27,,,,,,,,,,,,,,0.1355918006900237
28,,,,,,,,,,,,,,
29,,,,,,,,,-0.01651023639934441,,,,,0.13585779646955232
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,0.13582253135564284
33,,,,,,,,,-0.06799507834250766,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,-0.06136006762211771,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,0.13561792700191438
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,0.13591586602990563
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,0.13549646943169544
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,0.13653831384312456
49,,,,,,,,,,,,,,
