,Main effect e2/2,Main effect e2/3,Main effect e3/3,Main effect e2/4,Main effect e3/4,Main effect e4/4,Main effect canonical variate,Canonical variate x e2/2,Canonical variate x e2/3,Canonical variate x e3/3,Canonical variate x e2/4,Canonical variate x e3/4,Canonical variate x e4/4,Age
0,,,,,,,,,,,,,,0.07398745190020223
1,,,,,,,,,,,,,,
2,,,,,,,,,0.00664978059519019,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.07485630534962423
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,0.0738334884348037
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,0.07468597047221766
12,,,,,,,,,,,,,,0.07480624822585472
13,,,,,,,,,,,,,,0.07385083162368215
14,,,,,,,,,,,,,,0.07409808252456736
15,,,,,,,,,,,,,,0.07362530019867992
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,0.07412098694117411
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,0.07383041884654147
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,0.07355392637734809
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,0.074337975881284
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,0.07429670874991527
30,,,,,,,,,,,,,,0.07399466489818766
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,0.0740051170164081
38,,,,,,,,,,,,,,0.07444444948352387
39,,,,,,,,,-0.053471219114083875,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,-0.00540167639902431,,,,,
