,mean,5th_percentile,25th_percentile,median,75th_percentile,95th_percentile
component_1,0.5933038289390784,0.4001452145408901,0.5369690688379503,0.6071476206677149,0.668608495098824,0.7354872771205861
component_2,0.5402800875341518,0.2701334240435105,0.45499300715101654,0.5529015255793458,0.6480890822658956,0.7482599642796436
component_3,0.23039682403593895,0.024701269795398714,0.11553395398238973,0.21306920947034952,0.33210923750102433,0.4874840483533162
