id,Main effect canonical variate,Main effect e2/2,Main effect e2/3,Main effect e3/3,Main effect e2/4,Main effect e3/4,Main effect e4/4,Age,Canonical variate x e2/2,Canonical variate x e2/3,Canonical variate x e3/3,Canonical variate x e2/4,Canonical variate x e3/4,Canonical variate x e4/4
Fluid intelligence score: Component 0,-0.01081746984281166,-0.04621086398184693,0.009891717242362565,0.01265307240147688,0.0221841938267769,0.0269036002401844,-0.02542171972919137,-0.006443643342859829,-0.029736568591419366,0.00828625873955289,-0.005157849711160788,0.047298947560983455,-0.0036671789555462763,-0.027841078885719368
Fluid intelligence score: Component 1,-0.010675702702528551,-0.03670255215688999,0.008263417757142275,0.011431874656845468,0.021616244500290732,0.025662248873898758,-0.030271233631559136,-0.0066241374463475566,-0.023657137922998624,-0.002919957437149691,0.004332776095016161,0.00702952323244756,-0.00527082453430368,0.00980991786327797
Fluid intelligence score: Component 2,0.04403370035829502,-0.0738241376224004,0.014668956970527947,0.017250136935692842,0.027601072276774195,0.03174122009323441,-0.01743724865403985,-0.00625778843739709,0.13747750821380686,-0.05298681541082791,-0.024027647124585848,0.017134620250896224,-0.04710420955607846,0.013540243985309081
Fluid intelligence score: Component 3,0.005708847108203038,-0.04328272698508408,0.009106527206832334,0.012972868348877693,0.02282657865234637,0.02719393647700714,-0.028817183700214202,-0.006537629454378145,-0.04440372537561597,0.01091556934586168,0.007369287331392565,0.012083949739983552,0.008024997928414247,0.011718768137214513
Fluid intelligence score: Component 4,-0.036094000644248614,-0.06290962173926762,0.012230776664412524,0.015053099547501227,0.02512456391530099,0.02934579671028062,-0.01884461509843258,-0.006827597951660442,-0.14815812176520216,0.06315436554272048,0.040424407429581775,0.04269475848915147,0.03995245098708564,-0.07416186132671855
Fluid intelligence score: Component 5,-0.022274308209122913,-0.05824460112538318,0.012638335620019654,0.014790001199912977,0.023385795417294592,0.029060521502283037,-0.02163005261436628,-0.00663980457165793,-0.11315411460304707,0.0015445898868719928,0.0065747905923633524,0.07705580598677535,0.03627274684183707,-0.030568126914149948
Fluid intelligence score: Component 6,0.016721538446684052,-0.03663777590977613,0.008481369862919218,0.011224579595941284,0.021575967852916652,0.02597070496049868,-0.03061484636274985,-0.006433709891897162,0.015007166981849023,-0.015453376134434123,0.006365308177075052,-0.0491496827771365,0.010106431961945394,0.049845690236458344
Fluid intelligence score: Component 7,-0.00852394084868062,-0.032845705299214795,0.0077025755844094814,0.009426580601174904,0.01970312014111134,0.023680215185563076,-0.027666786213275445,-0.006577777329117457,-0.12188777029214996,0.03155407320151553,0.030707833139952748,0.003344394424510032,0.0011017660577799663,0.046655762619217625
Fluid intelligence score: Component 8,0.02212827823001411,-0.03750991879786103,0.008572360670000162,0.01114196216745285,0.02299470896748298,0.025257566623260765,-0.030456679630630038,-0.006423679271456497,0.0762654186689576,-0.029003454669068496,-0.028800265244579987,0.053054624378978794,-0.03191010424207063,-0.017477940662562443
Fluid intelligence score: Component 9,-0.0034246544576580647,-0.03507516451224789,0.011208586129560008,0.013831867990225793,0.020067314231225087,0.027911101001980847,-0.03794370484096834,-0.006603944085110074,0.0363606524793301,-0.010984643875596401,-0.007588405959048377,0.050307437876379334,-0.0069433886245954925,-0.0645763063532239
Fluid intelligence score: Component 10,0.001139214334166091,-0.045555380530446304,0.00994067978609843,0.011795835532242402,0.02491797754035388,0.025545961654253248,-0.026645073982784803,-0.00650929435588013,-0.04990370212745959,0.017841969733945022,0.005559411947105864,0.03690150527159882,0.017283832929520043,-0.026543803420908393
Fluid intelligence score: Component 11,0.004123429481312727,-0.039651480382801696,0.009855554343998256,0.012474258431985227,0.021098936578768927,0.026790920529758788,-0.03056818950197739,-0.006434347352028471,-0.02719426027644351,0.015087602650527181,-0.004556441449911758,0.04708200510391561,-0.0018641344937038579,-0.024431342053303863
Fluid intelligence score: Component 12,0.0346913747061347,-0.03941248997032561,0.008330059850651467,0.011154340763357572,0.024075838970289296,0.02618812619910271,-0.030335875813306084,-0.006472707972988056,-0.013174113002158778,-0.04046910838553693,-0.046033791557861484,0.10112679324603607,-0.04870930803756851,0.08195090244405953
Fluid intelligence score: Component 13,0.00712169585081102,-0.04120789739027117,0.008985360011210676,0.012162458030755819,0.02219432835919244,0.02644781653117719,-0.028582065542276783,-0.006472129666705701,0.12241942967331207,-0.02787119655087826,-0.01002000735819271,0.01155192610227358,-0.009455409269063984,-0.07950304674604705
Fluid intelligence score: Component 14,0.0072239188868441,-0.029795938797185513,0.006450741589551109,0.009205143430046223,0.019924742804778656,0.023389151136484494,-0.029173840163940427,-0.006469060212578528,-0.10014851357745395,-0.009632796719362733,0.0009366919466821038,0.05118916484530245,-0.002919047873755867,0.067798420265859
Fluid intelligence score: Component 15,0.0210023294634838,-0.03340271471620195,0.006633099033471105,0.008542498073768546,0.01951736856961518,0.022888806321911787,-0.02417905728280402,-0.005948875747680959,-0.1585655168976569,0.04150378408921103,0.007501926718956275,0.028307700526645392,-0.02865770346569526,0.1309121384908765
Fluid intelligence score: Component 16,-0.007963983507934343,-0.043042505378969545,0.010270347510125686,0.012407444650108916,0.02279556089755825,0.026836072670981745,-0.029266920350069055,-0.0064790597950335335,-0.0726940911649633,0.04264622991777341,0.027458013759917372,-0.008328906169973546,0.00713404109230129,-0.004179270943826251
