id,Main effect canonical variate,Main effect e2/2,Main effect e2/3,Main effect e3/3,Main effect e2/4,Main effect e3/4,Main effect e4/4,Age,Canonical variate x e2/2,Canonical variate x e2/3,Canonical variate x e3/3,Canonical variate x e2/4,Canonical variate x e3/4,Canonical variate x e4/4
Fluid intelligence score: Component 0,0.013434758084809394,-0.004361511784037873,-0.01728376860672953,0.0009473400278532089,-0.016538429300746463,0.0043882631874970005,0.03284810647672383,-0.017141301861989623,0.0037730211845409694,-0.007132058748224657,-0.00626465474092484,0.011990600448343464,0.019158776272928755,-0.008090926332664485
Fluid intelligence score: Component 1,0.018177685462963455,-0.0029809647837822587,-0.016892972800827168,0.0011768905376276057,-0.021001312180326432,0.006520801296688082,0.03317755793123785,-0.016715734155003454,0.006087338493173459,0.010871065211372146,-0.014197866167279204,0.06889933548152678,0.005192373531376587,-0.05867456108844266
Fluid intelligence score: Component 2,0.01587930554048922,-0.013249710603342875,-0.015310722692249413,0.002437169826424535,-0.01595902906343528,0.008307204501376113,0.03377508803186259,-0.017088443480262745,0.11645907188042698,-0.021755972363402622,0.004944100105211051,-0.028361426807968788,0.011469323216465172,-0.06687579049105224
Fluid intelligence score: Component 3,0.028370991313475633,-0.002820720970311069,-0.017940940627093106,0.0006546601878103195,-0.019500656807921922,0.005628567933828146,0.03397909028425175,-0.01708950726412794,-0.008168261423108654,-0.00829796099409679,-0.011763441083934546,0.05468199597185273,-0.0055740859434042075,0.00749274478632925
Fluid intelligence score: Component 4,-0.006383517530251341,0.0004091104176101522,-0.017326743161896998,0.0001770393258716543,-0.021726995817722857,0.005320390463664667,0.03314719877305063,-0.01696655023839732,0.0576897066632522,-0.02125383297196891,0.010956596661569631,-0.03165100259033892,-0.013768637426438803,-0.008356347866698541
Fluid intelligence score: Component 5,-0.02461025506038883,-0.0022653763691832794,-0.01726584387726695,0.00038402003201814833,-0.01920944315333402,0.005318124430716431,0.03303851893765788,-0.01659817090336071,-0.11010825541709267,0.05619530872586068,0.016972319135216192,0.05966329540442333,0.028273843336250933,-0.07560676624506717
Fluid intelligence score: Component 6,0.0007747379613093117,-0.0044272490715936965,-0.016968827139402506,0.0007257216898621654,-0.017614971691064293,0.005577651232228619,0.03270767498057589,-0.017057080506012515,-0.03088025776023834,0.022259282260729416,0.01074843688297169,0.004450491425288911,0.020627129086253408,-0.02643034393345167
Fluid intelligence score: Component 7,-0.01964840542999381,-0.028555971739020983,-0.012148469669999008,0.0055358765299623695,-0.012403589474439775,0.010823987617031537,0.0367481667371715,-0.01699821356649389,-0.1592950516396844,0.05050936715780316,0.053977779452794174,-0.04130886118682098,0.07104639608223587,0.005421964705164534
Fluid intelligence score: Component 8,-0.025537648332568205,0.0014126810065022463,-0.017952404021256252,0.00011878128743256264,-0.020353274395146812,0.004740988210613041,0.032033227912435264,-0.01696638663968122,-0.07022600251614167,0.008239298466664014,0.008460618605692903,-0.06124391377351823,0.046435604514871616,0.042796746370445844
Fluid intelligence score: Component 9,-0.008355392013813117,-0.0026062328659021,-0.017301048722808927,0.0003180016249963509,-0.019010765139129054,0.005345501344551113,0.033254543758866106,-0.016950985643619854,0.004414941725895498,-0.005189414384689529,-0.0023897123933489263,-0.0022043118284980814,0.002739053695394839,-0.00572594882882632
Fluid intelligence score: Component 10,-0.02494215600565138,-0.0049511001237323975,-0.01539449543632209,0.0024896702178411364,-0.022703068478546175,0.0077122388086144095,0.03284675501275426,-0.017114377169797836,-0.024253763823755416,0.026920339925432416,0.04745944584941868,-0.14384343065089203,0.008289531996104578,0.060485720697648175
Fluid intelligence score: Component 11,0.0011129113726123215,-0.002196448703860572,-0.018150318392917437,0.000537446095711502,-0.018425819768291062,0.005542287959606415,0.03269285281034828,-0.017084149083948282,-0.006091821617476389,-0.020973980993467083,-0.005407065297360755,0.01667350043033959,-0.007487401439548156,0.02439968029026438
Fluid intelligence score: Component 12,0.003928497021687209,-0.0030278797252552415,-0.017480753728589343,0.0005571494321076606,-0.018384936292877335,0.0053734635440257136,0.03296295677120943,-0.01709869968654825,0.028662081949289837,-0.003599781586075645,-0.008951420578229665,-0.02124715605065678,-0.02298070255090762,0.03204547583853231
Fluid intelligence score: Component 13,0.00901718249683422,-0.0012060857542437358,-0.017248429312405788,-0.00042340423881999465,-0.016090407747286765,0.004369730993003671,0.030598596060272383,-0.016863466061197357,0.021657147411216722,-0.041878852990275835,0.001553697111739125,0.04887836548853107,0.0009594318614213339,-0.022152606386294255
Fluid intelligence score: Component 14,-0.014807170065923771,0.006952561976400108,-0.01975791781939922,-0.0016209211261535368,-0.020299182016224406,0.0033463207337685857,0.03137913825217843,-0.017058002081157108,-0.07845818031030964,0.004687334150082356,0.02088798962545278,0.012016973667546614,0.00022694076740487068,0.025831772033027868
Fluid intelligence score: Component 15,0.03043950431533022,-0.003729817792747078,-0.017976596345089888,-0.0005625475373794399,-0.01723751749509867,0.004555490896207097,0.03495098827468083,-0.016938337597497258,-0.03580114582677964,0.02630700748587616,0.022168470175036904,-0.0042448766899103796,0.011810330177350621,0.010199718993719463
Fluid intelligence score: Component 16,0.004626249937145659,-0.008133037018925593,-0.016426725320020052,0.0017616757321229956,-0.017142029827381045,0.006211833137201347,0.03372828329757102,-0.016717039202621544,-0.08913801040250076,-0.024714662486975472,0.012715759544610943,-0.00416684851635429,0.008603042209189936,0.10132696958885373
