,Fluid intelligence score,Loneliness,Lack of social support,Age,Sex,Education score,Age completed high school education,Alcohol intake frequency,Alcohol consumption on a typical drinking day,Current tobacco smoking frequency,Past tobacco smoking frequency,Attend sports club or gym,Attend pub or social club,Attend religious group,Attend adult education class,Walking for pleasure,Moderate exercises,Strenuous sports,Sleep duration,Getting up in the morning,Being a morning person,Sleeplessness or insomnia,Heart attack,Angina,Stroke,Hypertension,Diabetes diagnosed by a doctor,Hearing difficulty with background noise,Hearing aid user,Glaucoma,Cataract,Macular degeneration,Miserableness,Fed-up feelings,Mood swings,Worrier_anxious,Nervous feelings,Sensitivity_Hurt feelings,Tense_Highly strung,Suffer from 'nerves',Worry too long after embarrassment,Irritability,Neuroticism score,Happiness,Feelings of nervousness or anxiety,Frequency of friend or family visits,Friendships satisfaction,Family relationship satisfaction,Number of full siblings,Home area population density,Average household income,Paid employment,Retirement,Looking after home or family,Unable to work due to sickness or disability,Unemployment,Doing unpaid or voluntary work,Full or part-time student,Number of vehicles in household,Time spent watching TV,Time spent using computer,Number in household,Physical environment score
Fluid intelligence score,0.396740690303388,0.13133447346391597,0.11564741208275804,-0.25797318679430087,-0.43101480381023727,-0.32104687811113636,-0.1832348814908869,0.28017479360266084,0.14732896207766388,-0.1462105442717851,0.03231300003367652,-0.001499717902771463,-0.07028997326864829,0.07602313874050855,0.014408075836462574,0.2741246688442061,-0.2853995567629543,0.06969010660143854,-0.05063435477386657,0.1636376746489789,0.19409357936886681,-0.02828871109848729,0.052041002970663004,0.02557967693468798,0.16210849101453348,0.03779405848222542,-0.10984054942127804,-0.05145065154999852,0.2596749264346085,0.05568552507362246,0.07877768670889665,0.23544796200675022,0.0673258647572128,0.023077464057113806,0.14645043628765922,0.07836122817431047,-0.101883747974713,0.14501968003710328,0.0085848301817494,-0.09659553628430757,0.1549188599214386,0.19250033087556906,0.1170084967311749,-0.19439704521951268,0.34182685836094917,-0.11322108467083644,-0.09288268466774013,-0.1529921229548276,-0.0561441473692077,-0.29107665214511025,0.34744810181565805,0.1495560539057441,-0.09874899121422565,0.10564560667290185,-0.34104088352800005,0.08514935112045598,0.062079718845291336,0.0014814078614846192,-0.14569565827887834,-0.2651569408939954,0.0014834326239513366,-0.15717789733201884,-0.03302598513846354
Loneliness,0.02393524352370153,0.23146777220308035,0.1595006381543381,0.10117677975397356,0.01453355308302221,-0.3161116806097492,-0.08878992655697854,0.29609622681231457,0.10161695679567492,0.19402073802786257,0.32636332696268905,0.2115884647408249,-0.1011920367792943,-0.12431289051489543,0.03237036545290462,0.031728973989763945,-0.002442942351468952,0.006784089918474886,-0.002590530328999225,-0.06369582540357294,-0.11233415996221334,0.11971172522788143,0.07429734964115639,0.32613923784257803,-0.06786922425508081,-0.07548604050343724,0.22342012003137057,0.23154113971002854,0.07204553418818001,0.2640930660089902,0.04940829874277404,-0.1546387210387432,0.1397681900465547,0.14264461851992064,0.25728510858314046,0.07418249221298724,0.14142066479591356,0.06363528629235383,0.1422087586694602,0.03241557763737028,0.039412765621732446,0.14648476509330152,0.16706733071734967,-0.33738622932593065,0.06613935833321258,-0.388994080817478,-0.25749632239894965,-0.29294328571673417,0.14473372917936625,-0.1371896950898222,0.027972801837509265,0.0044804871589613875,0.0065465079046026905,-0.03279448533956704,0.12160464556706889,0.07560282327289883,-0.023150838485329804,-0.12023767932919734,-0.24230457408249828,-0.13583170478082737,-0.2461195894887497,-0.27616341023207736,-0.050185049000638034
Lack of social support,-0.1107816761006306,-0.09095698666346175,0.05711905839692167,-0.21806717757712657,-0.08244624534314945,0.023677498972970303,0.12508694142927326,-0.13071416740604566,-0.0005318311913475495,-0.15781433314060422,-0.0059033737827466435,-0.007284560408210767,0.026059769612166765,0.10541291826561654,-0.1015361401929098,-0.09407017163475309,0.05843065761601579,0.23282229065465374,0.16492106744161344,-0.043310249702177124,-0.07589482165552802,-0.10563232824143476,-0.03809596597032408,0.13906676790819544,-0.21270421077114351,-0.1569148571153127,-0.03450644456448117,-0.0775457744869037,-0.019509364807989538,0.05816949111363931,-0.03284754333178147,-0.22662719455307134,0.0414552043977235,-0.10266036165583671,-0.007286544906341074,0.04058595060205303,-0.046277490370847676,-0.17977015679353678,-0.07126199172337618,0.06808283521195377,-0.00048372593635475676,0.024928115383370114,-0.04547263267258306,-0.009690817112243004,-0.10823695105148576,-0.03761361679100838,-0.030545671740014328,0.0014784199663151509,0.04435351422495492,0.02089076329015312,-0.157315018651669,0.09020248454344483,-0.09957989551922904,0.10274619162176651,0.006427886781751966,-0.17348498480279037,0.0002383274318664966,0.11941927164961125,0.05786234048244321,0.08829520688881727,-0.11495643267716504,0.13738213223922235,-0.17568407933353525
Age,-0.11493645588299263,-0.03516380571662498,-0.05317672929303867,-0.16888632592982922,0.011045436756955204,-0.09809796150393209,-0.06904267418927844,-0.07915626725744956,-0.17616883475998754,-0.099140869524698,-0.07185511051854429,-0.026407012690906374,-0.14398577248500372,0.2879227018980747,-0.04383154076231123,-0.10875307250818407,-0.044758344228459764,0.06895198710706492,0.24230639837848042,-0.3754937859036966,-0.04267766662668768,-0.2951058001702212,-0.02592012124105477,0.21509773789285644,0.035465046510910085,-0.01098887222739994,0.006062432055001392,-0.1013494375024786,-0.06277945885572754,0.06959062285473855,-0.03748459477178205,-0.23776743360409427,0.10904320337203051,-0.17602331739703664,-0.012893701025802748,0.03903241144101961,0.4707171034277198,0.17076226307480943,0.25692438014191826,0.13579438126580204,0.15047720239947301,0.05662967819587559,0.010040622979840551,-0.04830433505492403,-0.027267246136339393,-0.09778788719043403,-0.054594903409132235,-0.07825751107485146,-0.18599056371632197,0.043269975306995126,0.020665837709579193,-0.04187618715130621,-0.06949261335967875,0.11981878539048658,0.14337519566262807,0.06811738361680954,-0.14274954568035347,-0.08264184063984274,0.03691749995926177,-0.22784846075073745,-0.14140220932860906,-0.08595027519408703,-0.09898015999696316
Sex,-0.18916552752740476,0.15361556948080246,0.2038890508048396,0.050010677377035934,-0.280188793020998,0.08371032824199519,0.2222230521274053,-0.22371239008557528,-0.21297267163438655,-0.15189180925668858,-0.24857640944033552,-0.2751162897840871,0.1831116294588613,0.1691598655952208,-0.07639782139148621,-0.19419433590299112,0.10049542361688676,-0.024039964393163544,-0.13336133404700798,-0.00931016808004168,0.012693893283620002,0.16117468587422784,0.07258607419902566,-0.021023217500534333,0.025253819723669226,-0.06994550197607909,-0.04139740440767905,-0.07925184532423565,-0.2031851076708542,0.07954633345715807,0.029814769796899745,-0.08974172025263903,0.07759720536042701,0.02627540319564818,-0.11485977405427417,0.16745746335923223,-0.0666551172373346,0.0889060613651832,0.05063442808229618,-0.06060078485365037,0.07315940613279007,-0.006090301262096871,0.022208844510536247,0.09751954563878171,-0.10080705718435101,0.1779220088246575,0.11890046188956757,0.079968306323027,0.031265377500470336,0.13537057352910978,-0.30389645905926804,0.12368287452761588,-0.10610761759508476,-0.07030227462341851,0.07982129398162288,-0.21940213204599246,0.11126162753234731,-0.14172705253963547,-0.016573592533130954,0.17311051734402558,-0.05829388005003844,-0.0038772848982935875,0.0718159900272459
Education score,-0.02145919569568509,-0.0903748580042277,0.00938905334761029,-0.09026234650859817,0.017768459934060277,0.3618542576106566,0.2785410475934277,-0.2802533613949667,-0.00124838777863438,0.09407276828493519,-0.0885969771509797,0.06630180044668813,0.05067142483309447,-0.1584028144289453,-0.1187439932049045,-0.1950280870121296,0.32646529174739963,0.08766420087779607,-0.1294145563792356,0.4115045478798871,0.21994562871193254,-0.017844449190376203,-0.22100959227080053,-0.11221514837273928,-0.3396015633880796,-0.19310661551271377,-0.09417053447736655,-0.07570247240905557,-0.10183271193153313,-0.3011146247004639,-0.0567607727626695,0.15262482169741398,-0.1267288130177692,-0.022577063241717665,-0.23284510484252136,-0.20380679636190188,-0.1782888366195264,-0.21158877126392733,-0.12094009604905423,-0.05436845089836229,-0.22827932458388342,-0.1602982120572081,-0.1207997473665454,0.2736718381682163,0.06335024280619317,0.280301417506374,0.16509079515766037,0.2120604504074389,0.15780608664549362,0.08057693132642216,-0.18778598169391952,0.17358826199257302,-0.2487984236898788,-0.00301118354702736,0.09995739513051981,0.06686284130015639,-0.13960550388763726,0.12827672414693747,0.20527430769134705,0.46988117565569676,-0.22122146319977912,0.17359525843386092,0.1265959916999209
Age completed high school education,0.03338537422053071,0.12030587382574409,0.01683231687112895,-0.34140243427232897,-0.07541907193228484,0.2872291415413043,0.29659352973997105,-0.08628578686497856,0.10491838961817593,-0.02690690888206045,0.21158630401846512,0.04133983694588594,0.07430486274874484,-0.31429574655206854,-0.19255988593280757,-0.07407134500162231,0.2252516829548309,-0.03426494017746387,-0.16384649323994968,0.30476786068708245,0.18972307235583583,0.05235136806640151,-0.22266917937984654,0.10086557528029845,-0.30055708191186453,-0.2082240646132855,-0.2220509475266429,-0.18763581544082814,0.09385356523501166,-0.10089364804334756,0.11315541599960963,0.18529386272622045,-0.0012869948106574841,0.22958267892791764,0.092805200625497,-0.08640225750390303,-0.22330314026833137,-0.14495850674246888,-0.20776777748911207,0.055504421955704146,-0.30491363176059977,-0.1835910759340985,0.04345838433447776,0.20058581396225153,0.0986341248589325,0.08495353171615971,0.17590581398583446,0.1906074516939514,0.253366249393807,-0.029568089522378303,-0.1271739316812447,0.2046910936401742,-0.2501903142567215,0.15752022818012945,-0.044363144764571066,0.03058738075812312,-0.17283943564511606,0.16151926381416312,0.21984483332390434,0.3807792916925279,-0.06383097008699813,0.35469987351189075,-0.12310181048791737
Alcohol intake frequency,0.020421561256075204,-0.04671190230063618,0.11806077592949106,0.17460430982806185,0.005140230159506138,-0.20688160921664128,-0.0891878792749007,0.5127417067311838,0.3938952971683069,0.17131837644403708,0.2662364122680071,0.030287582431901428,0.2765500981445487,0.012897677645992471,-0.2204550531014861,0.10330042370678806,-0.2850316172438034,0.2487571811554696,0.11407156420098374,0.09794962399986104,0.011087763501607709,-0.055988990028230025,-0.09614927618453331,-0.04258607554216405,0.19416273254555372,0.2752093285995793,0.19876620897469685,0.07903093671516132,0.35036112581375206,0.06097148751516915,-0.2225299738072864,-0.18326964688289984,-0.0601295014913772,-0.10391850959246905,0.13232879562131894,-0.15382021622279524,-0.14726183459069844,0.004344876580586715,-0.03681865764728119,-0.08109868627053067,0.046666183674069606,0.039707466586172926,-0.14147382419207194,-0.3315769310220689,0.04507423376892937,-0.16004754007606797,-0.33241699524211604,-0.4197096934539488,-0.10302837031692325,0.0009188458422994775,0.051812166303628206,-0.11471037352230545,0.17258798886814508,-0.031852432836418594,0.02581182322275284,-0.18474309813650813,-0.014164114706099767,0.010631143479019672,-0.17096570667984823,-0.22958333712603102,0.18610946581553545,-0.32681468642925005,-0.120066671775934
Alcohol consumption on a typical drinking day,0.1724766914051386,-0.004139830807571128,0.10703594066572383,0.06018051088402314,-0.19425971868643338,-0.11246083860864368,-0.14540088083049246,0.2960614627987315,0.3707135180283187,0.09224997116259295,0.20294463523343004,0.2547501955268251,0.00017906033128924518,-0.17112424086376538,-0.05761247626315715,0.2541501377659376,-0.11396042713271962,0.11412457190238373,0.05859370634069454,0.2187645814315012,0.035736225667419366,-0.042360807643236235,-0.18988590797503874,-0.09434080022346014,0.032233853892887625,0.1505734533841937,-0.15551407887456878,-0.4037677376928269,0.34793571628601977,-0.15999518281303926,-0.03904338911918366,-0.08276231951977742,-0.07946258698342723,-0.04854219636983169,-0.044581866019374486,0.006806847265569458,-0.15757364348146236,-0.17776719547090133,-0.17405609629883548,-0.1976782182165981,-0.21293215544082097,0.00135456061414553,-0.10084221768017096,-0.306808507943694,0.0400023025577144,0.04865458779270343,-0.29233799393630094,-0.3179311661047474,-0.055281241843093964,-0.05077225428629144,0.21799619925598265,-0.06083625804522196,0.10971016214133067,0.04059323510002521,-0.026776955072228537,-0.22144464641108103,-0.009088913824870426,0.1089720816684333,0.008400686758355003,-0.0629342540965729,-0.13565383753201546,-0.15688942970340333,-0.04350117531666559
Current tobacco smoking frequency,-0.006331088952022041,0.009593201239233358,0.046212244187787445,0.12240691087458211,-0.022604544126612402,0.109420249865042,0.02506178525638705,0.17239169803148188,0.13908630833375718,0.29199669424919494,0.11651661539873386,0.1159217304105049,0.12171308997342742,-0.2743607657302612,-0.12193191030219137,-0.02067583828130386,0.06892648648749061,0.02911141591264517,-0.22623749701710402,0.17588761639809622,0.17425018122970806,0.24780902989993905,-0.11510536699760167,-0.02162734294941917,0.1503439811925805,0.09286180909707377,-0.018806989706638407,0.16379523295636955,0.03004342927282616,-0.10778648648820771,-0.09607920482263113,0.07140919237193605,0.08428473170598598,0.28429074256988507,0.13269681583918672,0.03971911402800098,-0.31251063525056677,-0.08582427433419272,-0.15034529445103156,-0.10401154125377962,-0.09289344644772271,-0.12764417098417086,-0.10834138431806949,-0.07918509415211128,-0.002957853318425289,0.0909799941033189,-0.06487127920521882,-0.06933851418650805,0.2888836046570055,0.10876711769149447,-0.022070325148406095,-0.060458456199548316,-0.02009988083931307,0.06442797458965038,0.1904080789756989,0.038574989180301375,0.2441393156548346,0.10311024239940315,-0.10885937482325182,0.17399629114176798,0.13151373862673998,-0.038369554756550794,0.1540286226935357
