,catid,coid,phesid,phenotype,mean_diff_p_val,5th_percentile,25th_percentile,median,75th_percentile,95th_percentile
374,20,12144-2.0,12144,Height (2.0),0.04914774458969991,0.0009355002844982362,0.006572202852667575,0.020451618627380423,0.05985171346347312,0.18493570864444844
375,20,23102-2.0,23102,Whole body water mass (2.0),0.25804789338595063,0.016606568969879016,0.08671375918654234,0.1949808888708801,0.3632227134495404,0.7420773964270074
384,20,50-0.0,50,Standing height (0.0),0.028459666737431215,0.0003963554185408506,0.0029110595648688493,0.0097905703618701,0.03102326700914748,0.10505492658228731
385,20,20015-0.0,20015,Sitting height (0.0),0.25940692502684976,0.02189237916761991,0.08343845533575675,0.1816126625965734,0.3762663481467149,0.7624501068537324
408,20,21002-0.0,21002,Weight (0.0),0.5698948504004194,0.13963459034612022,0.35921541042038735,0.5746027906940927,0.8000415237888835,0.9555637522365641
