,Main effect e2/2,Main effect e2/3,Main effect e3/3,Main effect e2/4,Main effect e3/4,Main effect e4/4,Main effect canonical variate,Canonical variate x e2/2,Canonical variate x e2/3,Canonical variate x e3/3,Canonical variate x e2/4,Canonical variate x e3/4,Canonical variate x e4/4,Age
0,-0.664458693615482,-0.2872763374479163,-0.18432088396003474,0.22292084076753563,0.30088986719225125,0.621439358027604,0.05470838743400459,,,,,,,0.13580972111733475
1,-0.6829876405663688,-0.28432635312116267,-0.18166142873159424,0.19983215400748627,0.30711236825655414,0.6253485315651894,0.1167495565234096,0.2705363084124813,-0.09928507916035817,-0.10268457078108464,0.17547688488302235,-0.13161631958415315,,0.13619232016981378
2,-0.6318643991651953,-0.29214534623471705,-0.19004606626187429,0.21077405850536238,0.30005241199990723,0.6189010888008001,,,,,,,0.19662299574260855,0.13638286719515258
3,-0.668505838219492,-0.28978585453170413,-0.18500955075343464,0.21555194767454244,0.3034144701424975,0.6230429496150777,0.0698875823201207,,,-0.07471363254562262,,-0.11140820687531823,,0.1350623913015477
4,-0.7107160467485808,-0.273403240678404,-0.170570388793004,0.2195855557922842,0.31879081150190686,0.6306444525682743,-0.0700126908823323,-0.37571663217335255,0.08773480014233351,0.05340289046992476,,,0.19383923929901153,0.13562678028167377
5,-0.648936219939696,-0.2929090143362664,-0.19005072730922834,0.21390871371277093,0.29969592013319923,0.6169432063427063,,,,,,,,0.13604262193699246
6,-0.6374019962456923,-0.29216138421541865,-0.18965334455998664,0.21479338981797497,0.2997190437189047,0.6093470335214335,,0.25392562539946856,,,,,-0.20987143015717794,0.1355818601711963
7,-0.7214757988782466,-0.2791179432965668,-0.17606541212642815,0.22068346065575375,0.31343716305557845,0.6369178750561263,-0.06510783886677615,-0.2983265580562092,0.11839160717802866,0.0890714954300196,-0.14176913619349837,,,0.13587613674820684
8,-0.6780271524291617,-0.2873655392612238,-0.18111181728210424,0.22010474506179845,0.3078797557842811,0.6143715211806977,0.05146091557603736,0.2710173534054406,-0.1456724987658441,,,,0.13170621304971306,0.13529070922073103
9,-0.7012437077799543,-0.28436255623294054,-0.18196504338897485,0.22451882350563995,0.3069891258197999,0.6258139282610257,-0.07090295442807225,-0.3933173574431919,,0.07924623857777498,0.13325612070670165,0.06285809405732454,,0.13592390468212595
10,-0.6513376705413129,-0.29182200461851415,-0.18964376299469896,0.21175555303127838,0.2991807492208599,0.6232229216290578,,,,,,,,0.13570542554973664
11,-0.685993000524436,-0.28915145649747576,-0.18174117507190174,0.22201368327555726,0.3076775395423177,0.6238381612871787,-0.09017732384608333,-0.49091576583559116,,0.12308319390882207,,0.07456276069518107,0.15345844583498955,0.1359034961681001
12,-0.6431796687926534,-0.2897149122180213,-0.18613426235504701,0.21626498254440424,0.3031131756403967,0.6194658461465424,,,-0.13231555152184876,,,,,0.13642077830764393
13,-0.6674335577821977,-0.29162128930348025,-0.18130951251502936,0.2198785360792316,0.307569211693163,0.634681054672557,,-0.24822349583434547,0.12567640583049539,,,,,0.13571312919711334
14,-0.6389933610272014,-0.29530771810282164,-0.19225069513546902,0.20649106142013193,0.2969362896753286,0.6138661781255551,,,0.07083636969530657,,,,,0.13598036489356582
15,-0.6677409827962891,-0.29727091248023324,-0.18746745525219358,0.2159241633965906,0.3028539046153055,0.6250833739045253,,-0.20887978237907723,0.17311973074248668,,,,,0.13629086344029717
16,-0.6417689601855703,-0.29522664424193024,-0.19239144263700075,0.20883571935677206,0.2965562983376209,0.6139156393312889,,,,,,,,0.13592601753982153
17,-0.6467335924982606,-0.29608405792307574,-0.1934009177807058,0.2127406530759353,0.2958466639175057,0.6166476281748233,,,,,,,,0.13580509548241132
18,-0.6461844864466955,-0.298213888977829,-0.19077655544519803,0.22047527815808815,0.2985003022603637,0.6162156634077733,0.05573094753105914,,,,,,,0.13600602278508986
19,-0.6528655844324411,-0.29186369093024755,-0.18860351989222654,0.21399941902964792,0.30040102943629576,0.6195445288508895,,,-0.06517948875206588,,,,,0.13567041619986966
20,-0.661235795630493,-0.2949884495459268,-0.1928788124462659,0.2133540393321777,0.2965103776766129,0.6132450718764639,,,,,0.10483154227187427,,,0.1354623553646321
21,-0.6507842157089295,-0.2864165160308076,-0.18406710146597838,0.21130371349897925,0.30484456793619713,0.6198199785106645,,0.33350122622166506,,,-0.158587196836803,,,0.13593293946622387
22,-0.6459653900998854,-0.2904450829531393,-0.18796042550018074,0.2127903139575474,0.30079863508596616,0.6140718980440998,,,,0.06299446219618128,,,-0.11363460750343161,0.13574060558640688
23,-0.6766207304918131,-0.2841924843109214,-0.181609217151125,0.2170272454785777,0.3069507349241299,0.6233892048332175,-0.08738921613964547,-0.2604028026949857,,0.07530357658664177,,0.10904113730497687,,0.13554548075759124
24,-0.6621321015107354,-0.2869993932103742,-0.18418746167360533,0.21827123346714983,0.3047863330568875,0.6171236910860542,0.04411162371695111,0.23647191107767804,,,,,-0.11888770389658371,0.13596903508140182
25,-0.6873257640623641,-0.28295282602194294,-0.1805857710515781,0.22316953765366884,0.30755020778825265,0.6270399645404244,0.04317933603520503,,,,,,,0.13607293498636963
26,-0.6554792669354552,-0.28887669656336046,-0.18586123888683267,0.18936113261266277,0.3031649802253763,0.6203731852603583,0.08153186494710654,,-0.09321601233938843,-0.06550507021600281,0.24175085892960999,-0.06759688475056051,,0.1360873849468737
27,-0.6758719488673524,-0.28367870199560696,-0.1827911109307592,0.2213620483000961,0.3077792394960314,0.6095007651424695,0.0814318984351879,,-0.08072858561428785,,,-0.07875985326026703,0.1477071532220762,0.13559180068944304
28,-0.6445809947051765,-0.2922792690441935,-0.18988460531172138,0.2155091636101169,0.2987027565317042,0.6147995767287636,,,,,,,,0.1355819378816773
29,-0.6428808005444216,-0.2900870468676245,-0.1875653211268566,0.21110013190455756,0.301868663983873,0.6190644693307923,,,,,,,,0.13585779646220134
30,-0.6800515206236728,-0.28272333466877797,-0.18041087041291273,0.22145384463918685,0.308536250577238,0.6223510270176075,0.08830762430973979,0.2734517943976613,,-0.10429751905021012,,-0.08880816801466651,,0.1357239067668148
31,-0.6336054018797873,-0.2915410541755149,-0.18996447601987973,0.21222895128933403,0.29866499652755546,0.606071455174606,-0.0470407061005827,,,0.06369404854912102,,,,0.1357248020731963
32,-0.658663830448505,-0.30256059931694596,-0.19912296556389347,0.20586354196794243,0.28935556636795345,0.6152812514801942,,,,,,,,0.13582253151479975
33,-0.7811523132278726,-0.27104970784241494,-0.1687874687534476,0.2350262013334647,0.3195720102301354,0.651181288683325,0.14845321419240026,0.6899459190428299,-0.0679950786033478,-0.11630783212714779,-0.23844813709807333,-0.10406019717881825,,0.13578162539129812
34,-0.6419371165667369,-0.291693577415446,-0.18948257926286358,0.21268012351658677,0.29815237907840914,0.6254042666726446,,,,,,,,0.13567863305322492
35,-0.6940593591130528,-0.2849976766338536,-0.18232323709223996,0.2108109149747936,0.30675707581255673,0.6248256399357446,,0.30492798187528763,,,-0.19102736280444027,,,0.13570058349364067
36,-0.644837471836631,-0.2935721752142311,-0.19031406088371816,0.21379444032576575,0.2990221154967277,0.6157288159629551,,,-0.061360067621275334,,,,,0.13578067758825618
37,-0.6506152179436469,-0.2900041752906288,-0.1872123405703586,0.2141025813122122,0.30215046088668845,0.6013665670731563,-0.04467628547584898,,0.054829473532331696,0.04888976754126412,,0.06647588485647044,-0.1305341864162108,0.13623342194485874
