,Main effect e2/2,Main effect e2/3,Main effect e3/3,Main effect e2/4,Main effect e3/4,Main effect e4/4,Main effect canonical variate,Canonical variate x e2/2,Canonical variate x e2/3,Canonical variate x e3/3,Canonical variate x e2/4,Canonical variate x e3/4,Canonical variate x e4/4,Age
0,,-0.36562803949831185,-0.326057847349171,0.20289482965225802,0.1852073385853125,0.43827665976071933,,,,,,,,0.07398745188852898
1,,-0.35337734622926936,-0.31354832301246083,0.216036821376031,0.19752554814462495,0.42694330290757637,,,,-0.07579727452288612,,,0.2746881780314023,0.07526614436758097
2,,-0.3582636412324056,-0.31810242247630266,0.1942307927489761,0.19319397166434427,0.43688257664241403,,,,,0.2744218261165908,,-0.1314356697850539,0.0731746567508403
3,,-0.3566451047861177,-0.3142444257485352,0.21359471149411294,0.19774767925254894,0.45901315044292174,,,0.0764920321991319,,0.13069939137153133,,,0.07475592253155124
4,,-0.3571219595653431,-0.316209116800816,0.20983321589893597,0.19489946335872066,0.4407769068107887,,,,,,,0.18175771346958072,0.07485630394818575
5,,-0.3574287192744008,-0.31743048841340143,0.2126013793514391,0.19337933450982867,0.43525719510425465,,,,,,,0.1519628194244079,0.07409565960455507
6,,-0.36960934991392314,-0.32695792560798226,0.20084609493450578,0.1846963998510862,0.44407576182464,0.055177263887894804,0.24892465111397136,,,-0.15863717188840165,,,0.07410437172319057
7,,-0.36520200740968145,-0.32521434788402387,0.20470721181169105,0.18578692599395963,0.4622025770878511,,-0.4069097699877563,0.12967181410127226,,,,0.18555501634309063,0.07408191342363242
8,,-0.3670297419818656,-0.3229807176912629,0.2057433202988275,0.18860975692854814,0.45117593429337005,,,-0.1667420294726908,-0.07223413693396138,,,0.1556844048660856,0.07383348843162105
9,,-0.3626643745994034,-0.3206011830654633,0.21163405288948087,0.19055560964664636,0.44225008909956315,,0.46573851487211065,-0.08342002808066812,,-0.32271997366409727,,,0.07431049236356639
10,,-0.3712414309493297,-0.3285869062541165,0.19946179990079263,0.18325470042896866,0.4625138849374308,,,,,,,-0.1418350972721028,0.07463595500120944
11,,-0.3623204476057511,-0.32151125047204465,0.19794535054419798,0.18910439459862183,0.4563689657835768,,-0.23142848103862687,,,0.13252284091732028,,,0.07468597047222442
12,,-0.35658455528756816,-0.3178127479600981,0.21025828667130034,0.1949986781458392,0.4514392881868066,,,,,,,0.1561780016022706,0.0748062482259873
13,,-0.35858817803940873,-0.3182713398166543,0.20378638807341723,0.19342902583201071,0.4543701653955431,,,,0.07360536645875725,-0.16500853580500152,,,0.0738508316222079
14,,-0.35887846874821283,-0.3181994813932231,0.20712261288292702,0.19172106783768397,0.4463019516639381,,,,,0.11510921288691277,,-0.16164731697282095,0.07409808254511029
15,,-0.36024160340120187,-0.31703506801675135,0.20671074993297264,0.19386312822291707,0.44853428969852166,,,,,,0.06652403510790018,,0.07362530019871834
